"Vakanties; kerncijfers"
"Onderwerpen";"Deelnemers aan vakanties";"Totaal aantal vakanties";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in Nederland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland";"Vakanties in het buitenland"
"Onderwerpen";"Aantal deelnemers aan vakanties";"Totaal aantal vakanties";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Toeristengebieden";"Vervoermiddel";"Vervoermiddel";"Vervoermiddel";"Vervoermiddel";"Vervoermiddel";"Totale uitgaven voor vakanties";"Gemiddelde uitgaven per vakantieganger";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vakantieland";"Vervoermiddelen";"Vervoermiddelen";"Vervoermiddelen";"Vervoermiddelen";"Vervoermiddelen";"Totale uitgaven voor vakanties";"Gemiddelde uitgaven per vakantieganger"
"Onderwerpen";"Aantal deelnemers aan vakanties";"Totaal aantal vakanties";"Nederland totaal";"Waddeneilanden";"Noordzeebadplaatsen";"IJsselmeerkust";"Deltagebied";"Meren in Friesland e.o.";"Hollands-Utrechtse meren";"Utrechtse Heuvelrug en 't Gooi";"Veluwe en Veluwerand";"Gelders rivierengebied";"Achterhoek";"Twente, Salland en Vechtstreek";"Groningse, Friese en Drentse zandgronden";"West- en Midden-Brabant";"O-Brabant, N-M Limburg en Rijk v. Nijmeg";"Zuid-Limburg";"Vier grote steden";"Overig Nederland";"Fiets";"Auto";"Trein";"Touringcar";"Overige vervoermiddelen";"Totale uitgaven voor vakanties";"Gemiddelde uitgaven per vakantieganger";"Totaal vakanties in buitenland";"België";"Luxemburg";"Frankrijk";"Spanje";"Portugal";"Oostenrijk";"Zwitserland";"Groot Brittannië";"Noorwegen, Zweden, Finland";"Denemarken";"Duitsland";"Italië";"Griekenland";"Hongarije";"Tsjechië";"Turkije";"Egypte";"Verre Oosten";"Verenigde Staten";"Caribisch gebied";"Overige landen";"Auto";"Trein";"Touringcar";"Vliegtuig";"Overige vervoermiddelen";"Totale uitgaven voor vakanties";"Gemiddelde uitgaven per vakantieganger"
"Onderwerpen";"Aantal deelnemers aan vakanties";"Totaal aantal vakanties";"Nederland totaal";"Waddeneilanden";"Noordzeebadplaatsen";"IJsselmeerkust";"Deltagebied";"Meren in Friesland e.o.";"Hollands-Utrechtse meren";"Utrechtse Heuvelrug en 't Gooi";"Veluwe en Veluwerand";"Gelders rivierengebied";"Achterhoek";"Twente, Salland en Vechtstreek";"Groningse, Friese en Drentse zandgronden";"West- en Midden-Brabant";"O-Brabant, N-M Limburg en Rijk v. Nijmeg";"Zuid-Limburg";"Vier grote steden";"Overig Nederland";"Aantal fiets";"Auto";"Trein";"Touringcar";"Overige vervoermiddelen";"Totale uitgaven voor vakanties";"Gemiddelde uitgaven per vakantieganger";"Totaal vakanties in buitenland";"België";"Luxemburg";"Frankrijk";"Spanje";"Portugal";"Oostenrijk";"Zwitserland";"Groot-Brittannië";"Noorwegen, Zweden, Finland";"Denemarken";"Duitsland";"Italië";"Griekenland";"Hongarije";"Tsjechië";"Turkije";"Egypte";"Verre Oosten";"Verenigde Staten";"Caribisch gebied";"Overige landen";"Auto";"Trein";"Touringcar";"Vliegtuig";"Overige vervoermiddelen";"Totale uitgaven voor vakanties";"Gemiddelde uitgaven per vakantieganger"
"Perioden";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x mld. euro";"euro's";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x 1000";"x mld. euro";"euro's"
"2005";"12436";"34400";"17314";"1058";"2070";"684";"751";"561";"117";"477";"1991";"133";"647";"1412";"1824";"1611";"1619";"867";"354";"1140";"363";"15571";"835";"141";"404";"2.5";"143";"17086";"2041";"289";"2759";"1647";"274";"1024";"359";"627";"305";"208";"2600";"744";"548";"122";"403";"985";"211";"246";"288";"185";"1222";"9546";"606";"982";"5485";"466";"10.3";"600"
"2006";"12421";"34546";"17794";"953";"2178";"696";"769";"572";"174";"502";"2148";"198";"711";"1371";"1797";"1651";"1670";"950";"312";"1143";"306";"16116";"885";"120";"367";"2.6";"144";"16752";"1926";"231";"2724";"1551";"237";"1160";"354";"636";"304";"189";"2571";"865";"645";"126";"330";"644";"203";"240";"336";"225";"1254";"9449";"573";"907";"5392";"431";"10.4";"622"
"2007";"12484";"35150";"17594";"1091";"2107";"706";"775";"600";"80";"393";"2033";"183";"676";"1352";"1734";"1687";"1745";"1002";"358";"1073";"325";"15793";"890";"134";"452";"2.7";"154";"17556";"2096";"185";"2645";"1622";"258";"1150";"390";"679";"344";"215";"2951";"932";"736";"114";"342";"649";"200";"288";"314";"202";"1246";"9705";"657";"982";"5754";"458";"11.1";"633"
"2008";"12661";"35907";"17449";"1103";"1949";"915";"816";"512";"63";"370";"1909";"137";"708";"1320";"1848";"1646";"1714";"990";"357";"1092";"317";"15724";"876";"128";"404";"2.7";"155";"18458";"1970";"150";"2904";"1847";"310";"1098";"361";"591";"343";"229";"2996";"1015";"731";"122";"421";"780";"259";"278";"383";"157";"1511";"10006";"743";"955";"6355";"398";"12.6";"680"
"2009";"12643";"36367";"17959";"1112";"2178";"912";"736";"454";"165";"319";"1985";"151";"620";"1354";"1924";"1684";"1950";"939";"329";"1149";"282";"16431";"770";"102";"373";"2.8";"154";"18408";"1990";"189";"2824";"1555";"334";"1202";"345";"705";"377";"196";"3517";"992";"625";"112";"315";"680";"215";"307";"407";"232";"1288";"10389";"690";"899";"5981";"448";"12.3";"669"
"2010";"12740";"36138";"17708";"1018";"2087";"875";"760";"499";"134";"369";"1933";"190";"598";"1304";"1877";"1688";"1725";"973";"470";"1207";"280";"16091";"809";"105";"422";"2.8";"157";"18430";"1996";"216";"2856";"1572";"317";"1168";"314";"784";"335";"187";"3233";"1009";"616";"147";"237";"803";"271";"379";"433";"174";"1385";"10262";"665";"770";"6272";"462";"12.3";"663"
"2011";"12845";"36301";"17741";"938";"2137";"989";"615";"502";"102";"332";"1916";"150";"569";"1342";"2075";"1684";"1775";"1123";"389";"1105";"218";"16238";"847";"86";"353";"2.8";"155";"18560";"1972";"148";"2951";"1773";"305";"1176";"294";"802";"329";"188";"3325";"992";"588";"163";"201";"823";"213";"335";"372";"54";"1421";"9984";"706";"776";"6555";"538";"12.3";"668"
"2012";"12811";"36748";"18120";"983";"2252";"911";"711";"470";"96";"336";"2124";"158";"654";"1404";"1978";"1712";"1769";"1035";"408";"1121";"247";"16528";"894";"62";"389";"2.9";"157";"18628";"1811";"178";"2798";"1796";"439";"1233";"286";"771";"320";"200";"3400";"1030";"645";"159";"209";"814";"247";"306";"463";"87";"1438";"10120";"608";"677";"6772";"451";"12.9";"692"
"2013";"12773";"35583";"17490";"978";"2280";"1160";"640";"435";"115";"422";"1904";"197";"643";"1201";"1731";"1650";"1553";"969";"496";"1117";"252";"15945";"910";"54";"328";"2.9";"163";"18093";"1766";"203";"2677";"1759";"416";"1178";"249";"832";"309";"176";"3183";"1107";"584";"137";"255";"840";"204";"268";"396";"43";"1511";"9842";"573";"603";"6569";"507";"12.6";"697"
"2014";"12548";"35109";"17176";"934";"2220";"1186";"580";"477";"156";"379";"1870";"170";"614";"1270";"1716";"1537";"1570";"931";"548";"1019";"330";"15496";"907";"69";"373";"2.8";"166";"17933";"1425";"163";"2606";"1856";"485";"1113";"255";"870";"303";"163";"3377";"1091";"726";"125";"189";"770";"94";"306";"382";"68";"1566";"9426";"491";"646";"6885";"486";"12.6";"702"
"2015";"12661";"35061";"16991";"971";"2169";"908";"595";"390";"84";"491";"1889";"182";"561";"1382";"1705";"1509";"1634";"862";"516";"1145";"236";"15537";"800";"78";"341";"3.0";"174";"18070";"1430";"173";"2617";"1969";"423";"1157";"269";"864";"346";"143";"3375";"1060";"699";"121";"165";"701";"158";"331";"388";"50";"1630";"9454";"585";"631";"6981";"419";"13.0";"717"
"2016";"12787";"35520";"17583";"1035";"2062";"1043";"696";"369";"79";"428";"1778";"170";"550";"1424";"1937";"1664";"1677";"976";"539";"1156";"275";"15807";"972";"102";"426";"3.0";"172";"17938";"1341";"198";"2550";"2177";"495";"1104";"252";"853";"314";"212";"3519";"1175";"510";"147";"224";"497";"79";"330";"416";"64";"1481";"9722";"439";"579";"6780";"418";"12.6";"704"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 16-10-2017"
